citric acid,fixed acidity,residual sugar,pH,alcohol,quality
0,7.4,1.9,3.51,9.4,5
0,7.8,2.6,3.2,9.8,5
0.04,7.8,2.3,3.26,9.8,5
0.56,11.2,1.9,3.16,9.8,6
0,7.4,1.9,3.51,9.4,5
0,7.4,1.8,3.51,9.4,5
0.06,7.9,1.6,3.3,9.4,5
0,7.3,1.2,3.39,10,7
0.02,7.8,2,3.36,9.5,7
0.36,7.5,6.1,3.35,10.5,5
0.08,6.7,1.8,3.28,9.2,5
0.36,7.5,6.1,3.35,10.5,5
0,5.6,1.6,3.58,9.9,5
0.29,7.8,1.6,3.26,9.1,5
0.18,8.9,3.8,3.16,9.2,5
0.19,8.9,3.9,3.17,9.2,5
0.56,8.5,1.8,3.3,10.5,7
0.28,8.1,1.7,3.11,9.3,5
0.08,7.4,4.4,3.38,9,4
0.51,7.9,1.8,3.04,9.2,6
0.48,8.9,1.8,3.39,9.4,6
0.31,7.6,2.3,3.52,9.7,5
0.21,7.9,1.6,3.17,9.5,5
0.11,8.5,2.3,3.17,9.4,5
0.14,6.9,2.4,3.43,9.7,6
0.16,6.3,1.4,3.34,9.3,5
0.24,7.6,1.8,3.28,9.5,5
0.21,7.9,1.6,3.17,9.5,5
0,7.1,1.9,3.47,9.4,5
0,7.8,2,3.38,9.8,6
0.07,6.7,2.4,3.35,10.1,5
0,6.9,2.5,3.46,10.6,6
0.12,8.3,2.3,3.17,9.8,5
0.12,6.9,10.7,3.45,9.4,6
0.25,5.2,1.8,3.38,9.2,5
0,7.8,5.5,3.4,9.6,6
0.14,7.8,2.4,3.42,10.8,6
0.28,8.1,2.1,3.23,9.7,7
0.09,5.7,1.5,3.5,9.8,4
0.36,7.3,5.9,3.33,10.5,5
0.36,7.3,5.9,3.33,10.5,5
0.3,8.8,2.8,3.26,9.3,4
0.2,7.5,2.6,3.21,10.5,6
0.22,8.1,2.2,3.3,10.3,5
0.02,6.8,1.8,3.48,9.5,5
0.15,4.6,2.1,3.9,13.1,4
0.43,7.7,2.2,3.25,9.2,5
0.52,8.7,1.6,3.25,9.5,5
0.23,6.4,1.6,3.34,9.2,5
0.37,5.6,1.4,3.32,9.2,5
0.26,8.8,1.7,3.15,9.2,5
0.04,6.6,2.2,3.4,9.4,6
0.04,6.6,2.1,3.39,9.4,6
0.36,8.6,3,3.2,9.4,5
0.15,7.6,2.8,3.17,10.2,6
0.04,7.7,3.8,3.34,9.5,5
0.57,10.2,3.4,3.04,9.6,5
0.12,7.5,5.1,3.26,9.4,5
0.18,7.8,2.3,3.43,10,5
0.31,7.3,2.4,3.41,9.4,6
0.4,8.8,2.2,3.44,9.2,5
0.49,7.7,1.8,3.21,9.3,5
0.16,7.5,1.9,3.38,9.5,7
0.05,7,2,3.39,9.8,5
0.05,7.2,4.65,3.41,10.9,5
